CM059148.1	Trypanosoma cruzi	Trypanosoma cruzi isolate M05 mitochondrion, complete sequence, whole genome shotgun sequence
EU408284.1	Canis lupus familiaris	Canis lupus familiaris isolate Keeshond3P mitochondrion, complete genome
EU408283.1	Canis lupus familiaris	Canis lupus familiaris isolate Keeshond2P mitochondrion, complete genome
EU408282.1	Canis lupus familiaris	Canis lupus familiaris isolate Keeshond1P mitochondrion, complete genome
EU408281.1	Canis lupus familiaris	Canis lupus familiaris isolate JackRussell6P mitochondrion, complete genome
EU408279.1	Canis lupus familiaris	Canis lupus familiaris isolate Havanese3P mitochondrion, complete genome
EU408278.1	Canis lupus familiaris	Canis lupus familiaris isolate GreatPyrenees1P mitochondrion, complete genome
EU408277.1	Canis lupus familiaris	Canis lupus familiaris isolate GermanShepherd12P mitochondrion, complete genome
EU408276.1	Canis lupus familiaris	Canis lupus familiaris isolate GreatDane2P mitochondrion, complete genome
EU408275.1	Canis lupus familiaris	Canis lupus familiaris isolate FrenchBullDog1P mitochondrion, complete genome
EU408274.1	Canis lupus familiaris	Canis lupus familiaris isolate EnglishMastiff3P mitochondrion, complete genome
EU408273.1	Canis lupus familiaris	Canis lupus familiaris isolate EnglishShepherd1M mitochondrion, complete genome
EU408272.1	Canis lupus familiaris	Canis lupus familiaris isolate Dachshund15P mitochondrion, complete genome
EU408271.1	Canis lupus familiaris	Canis lupus familiaris isolate DoguedeBordeaux1P mitochondrion, complete genome
EU408270.1	Canis lupus familiaris	Canis lupus familiaris isolate Dachshund4P mitochondrion, complete genome
EU408269.1	Canis lupus familiaris	Canis lupus familiaris isolate DobermanPinscher5P mitochondrion, complete genome
EU408268.1	Canis lupus familiaris	Canis lupus familiaris isolate CockerSpaniel8P mitochondrion, complete genome
EU408267.1	Canis lupus familiaris	Canis lupus familiaris isolate CockerSpaniel3P mitochondrion, complete genome
EU408266.1	Canis lupus familiaris	Canis lupus familiaris isolate CockerSpaniel1P mitochondrion, complete genome
